6.1204,-0.15884,8.951
6.1538,-0.9801,8.9413
6.1873,-1.8021,8.846
6.2207,-2.6166,8.6639
6.2542,-3.4155,8.3948
6.2876,-4.1902,8.0396
6.3211,-4.9322,7.5999
6.3545,-5.6332,7.0784
6.388,-6.2848,6.4786
6.4214,-6.879,5.8052
6.4548,-7.4081,5.0637
6.4883,-7.8649,4.2607
6.5217,-8.2427,3.4036
6.5552,-8.5356,2.5006
6.5886,-8.7383,1.561
6.6221,-8.8466,0.59434
6.6555,-8.857,-0.38876
6.689,-8.7673,-1.3773
6.7224,-8.5762,-2.36
6.7559,-8.2839,-3.3251
6.7893,-7.8914,-4.2607
6.8227,-7.4014,-5.155
6.8562,-6.8177,-5.9963
6.8896,-6.1454,-6.7731
6.9231,-5.3909,-7.4745
6.9565,-4.5619,-8.0902
6.99,-3.6674,-8.6106
7.0234,-2.7173,-9.0273
7.0569,-1.7227,-9.3326
7.0903,-0.69571,-9.5205
7.1237,0.35089,-9.586
7.1572,1.4036,-9.526
7.1906,2.4484,-9.3388
7.2241,3.4709,-9.0244
7.2575,4.4568,-8.5847
7.291,5.3916,-8.0233
7.3244,6.2614,-7.3457
7.3579,7.0525,-6.5593
7.3913,7.7521,-5.6732
7.4247,8.3485,-4.6982
7.4582,8.8308,-3.6468
7.4916,9.1899,-2.5331
7.5251,9.418,-1.3722
7.5585,9.5092,-0.18065
7.592,9.4594,1.0241
7.6254,9.2669,2.2241
7.6589,8.9317,3.4008
7.6923,8.4564,4.5355
7.7258,7.8457,5.6097
7.7592,7.1068,6.6053
7.7926,6.249,7.5053
7.8261,5.2838,8.2932
7.8595,4.2249,8.9545
7.893,3.0879,9.476
7.9264,1.8901,9.8466
7.9599,0.65031,10.058
7.9933,-0.61147,10.103
8.0268,-1.8743,9.9779
8.0602,-3.1165,9.6828
8.0936,-4.3165,9.2193
8.1271,-5.4526,8.5928
8.1605,-6.5038,7.8112
8.194,-7.45,6.8859
8.2274,-8.2725,5.831
8.2609,-8.9543,4.6631
8.2943,-9.4807,3.4016
8.3278,-9.8394,2.0681
8.3612,-10.021,0.68584
8.3946,-10.019,-0.72015
8.4281,-9.8297,-2.1239
8.4615,-9.4544,-3.4988
8.495,-8.8968,-4.8182
8.5284,-8.1645,-6.0558
8.5619,-7.2688,-7.1863
8.5953,-6.2245,-8.1858
8.6288,-5.0496,-9.0325
8.6622,-3.7654,-9.7071
8.6957,-2.3957,-10.193
8.7291,-0.96683,-10.479
8.7625,0.4932,-10.554
8.796,1.9549,-10.414
8.8294,3.3882,-10.058
8.8629,4.7627,-9.4915
8.8963,6.0486,-8.7218
8.9298,7.2173,-7.7625
8.9632,8.242,-6.631
8.9967,9.0985,-5.3491
9.0301,9.7655,-3.9422
9.0635,10.226,-2.4392
9.097,10.465,-0.87152
9.1304,10.476,0.72688
9.1639,10.253,2.3208
9.1973,9.7997,3.8743
9.2308,9.1212,5.3516
9.2642,8.23,6.7176
9.2977,7.1434,7.9394
9.3311,5.8836,8.9864
9.3645,4.4775,9.8316
9.398,2.9558,10.452
9.4314,1.353,10.83
9.4649,-0.29398,10.952
9.4983,-1.946,10.813
9.5318,-3.5633,10.411
9.5652,-5.1057,9.7533
9.5987,-6.5343,8.8514
9.6321,-7.8119,7.7246
9.6656,-8.9046,6.3978
9.699,-9.7822,4.9014
9.7324,-10.419,3.271
9.7659,-10.796,1.5462
9.7993,-10.9,-0.22996
9.8328,-10.723,-2.0123
9.8662,-10.267,-3.7545
9.8997,-9.5391,-5.4103
9.9331,-8.5551,-6.9348
9.9666,-7.3374,-8.2855
10,-5.9153,-9.424
